n_iter,learning_rate,batch_size,precision,recall,f1_score
1000,0.01,32,0.12,0.09473684210526316,0.10588235294117647
1000,0.01,50,0.1232876712328767,0.09473684210526316,0.10714285714285714
1000,0.01,100,0.10465116279069768,0.09473684210526316,0.09944751381215469
1000,0.01,500,0.09782608695652174,0.09473684210526316,0.0962566844919786
1000,0.01,1000,0.10227272727272728,0.09473684210526316,0.09836065573770492
1000,0.1,1000,0.3333333333333333,0.5578947368421052,0.41732283464566927
2000,0.01,32,0.2318840579710145,0.16842105263157894,0.1951219512195122
2000,0.01,50,0.2236842105263158,0.17894736842105263,0.19883040935672514
2000,0.01,100,0.23655913978494625,0.23157894736842105,0.23404255319148937
2000,0.01,500,0.24719101123595505,0.23157894736842105,0.2391304347826087
2000,0.01,1000,0.24175824175824176,0.23157894736842105,0.23655913978494625
2000,0.1,1000,0,0.0,0

2000,0.1,1000,0.9142857142857143,0.9142857142857143,0.9142857142857143


1000,0.1,16,0.9223300970873787,0.9047619047619048,0.9134615384615385
1000,0.1,32,0.8899082568807339,0.9238095238095239,0.9065420560747663
1000,0.1,50,0.897196261682243,0.9142857142857143,0.9056603773584906


1000,0.1,16,0.586608442503639,0.9905196629213483,0.7368421052631579
1000,0.1,32,0.5506684751017245,0.9978932584269663,0.7097015857160694
1000,0.1,50,0.5716592652402099,0.9943820224719101,0.7259677005895924
2000,0.1,50,0.7811487481590574,0.9311797752808989,0.849591542527631
2000,0.1,100,0.8309996743731684,0.8960674157303371,0.8623078222672749
2000,0.1,1000,0.9413881748071979,0.6429073033707865,0.7640308783642813
2000,0.1,800,0.9884868421052632,0.2110252808988764,0.3478009259259259
2000,0.1,800,0.9884868421052632,0.2110252808988764,0.3478009259259259
2000,0.1,800,0.9884868421052632,0.2110252808988764,0.3478009259259259

2000,0.1,50,0.1554524361948956,0.7052631578947368,0.25475285171102663


2000,0.1,50,0.1554524361948956,0.7052631578947368,0.25475285171102663
2000,0.1,50,0.5263157894736842,0.21052631578947367,0.3007518796992481
2000,0.1,50,0.47435897435897434,0.3894736842105263,0.4277456647398844
2000,0.1,50,0.12583892617449666,0.7894736842105263,0.21707670043415345
2000,0.1,50,0.14042553191489363,0.6947368421052632,0.23362831858407082
2000,0.1,50,0.09657701711491443,0.8315789473684211,0.17305585980284777
2000,0.1,50,0.12012987012987013,0.7789473684210526,0.20815752461322082
2000,0.1,50,0.1670886075949367,0.6947368421052632,0.2693877551020408
2000,0.1,50,0.05583126550868486,0.9473684210526315,0.1054481546572935
2000,0.1,50,0.2560386473429952,0.5578947368421052,0.3509933774834437
2000,0.1,50,0.3129251700680272,0.4842105263157895,0.38016528925619836
2000,0.1,50,0.42857142857142855,0.4105263157894737,0.41935483870967744

1000,0.1,16,0.05995864920744314,0.9157894736842105,0.11254851228978009
1000,0.1,16,0.04278561675011379,0.9894736842105263,0.08202443280977313
1000,0.1,16,0.2151394422310757,0.5684210526315789,0.31213872832369943
1000,0.1,32,0.6129032258064516,0.2,0.30158730158730157
1000,0.1,32,0.07417102966841187,0.8947368421052632,0.13698630136986303
1000,0.1,32,0.4567901234567901,0.3894736842105263,0.42045454545454547
1000,0.1,50,0.07735849056603773,0.8631578947368421,0.14199134199134197
1000,0.1,50,0.18769230769230769,0.6421052631578947,0.29047619047619044
1000,0.1,50,0.47540983606557374,0.30526315789473685,0.3717948717948718
2000,0.1,16,0.0748663101604278,0.8842105263157894,0.13804437140509448
2000,0.1,16,0.28484848484848485,0.49473684210526314,0.3615384615384615
2000,0.1,16,0.21544715447154472,0.5578947368421052,0.31085043988269795
2000,0.1,32,0.1614457831325301,0.7052631578947368,0.26274509803921564
2000,0.1,32,0.064,0.9263157894736842,0.11972789115646258
2000,0.1,32,0.15841584158415842,0.6736842105263158,0.2565130260521042
2000,0.1,50,0.08728448275862069,0.8526315789473684,0.15835777126099707
2000,0.1,50,0.17886178861788618,0.6947368421052632,0.28448275862068967
2000,0.1,50,0.10555555555555556,0.8,0.18650306748466258
5000,0.1,16,0.1670886075949367,0.6947368421052632,0.2693877551020408
5000,0.1,16,0.19476744186046513,0.7052631578947368,0.30523917995444194
5000,0.1,16,0.12025316455696203,0.8,0.20907840440165065
5000,0.1,32,0.06386066763425254,0.9263157894736842,0.11948404616429055
5000,0.1,32,0.11061285500747384,0.7789473684210526,0.19371727748691098
5000,0.1,32,0.11515151515151516,0.8,0.2013245033112583
5000,0.1,50,0.4864864864864865,0.37894736842105264,0.42603550295857995
5000,0.1,50,0.039191419141914194,1.0,0.07542675664946408
5000,0.1,50,0.11532625189681335,0.8,0.20159151193633953
10000,0.1,16,0.1972318339100346,0.6,0.296875
10000,0.1,16,0.0605854322668482,0.9368421052631579,0.11381074168797954
10000,0.1,16,0.07976071784646062,0.8421052631578947,0.14571948998178505
10000,0.1,32,0.14344262295081966,0.7368421052631579,0.24013722126929674
10000,0.1,32,0.08350730688935282,0.8421052631578947,0.15194681861348527
10000,0.1,32,0.07369323050556983,0.9052631578947369,0.13629160063391443
10000,0.1,50,0.47126436781609193,0.43157894736842106,0.4505494505494505
10000,0.1,50,0.05355064027939464,0.968421052631579,0.10148924434638719
10000,0.1,50,0.05278422273781903,0.9578947368421052,0.10005497526113248


1000,0.1,16,0.05995864920744314,0.9157894736842105,0.11254851228978009
1000,0.01,16,0.1073345259391771,0.631578947368421,0.18348623853211007
1000,0.001,16,0.06290471785383904,0.7157894736842105,0.11564625850340136
1000,0.1,32,0.6129032258064516,0.2,0.30158730158730157
1000,0.01,32,0.09491059147180192,0.7263157894736842,0.1678832116788321
1000,0.001,32,0.04331013147718484,0.5894736842105263,0.08069164265129683
1000,0.1,50,0.07735849056603773,0.8631578947368421,0.14199134199134197
1000,0.01,50,0.12,0.7263157894736842,0.20597014925373133
1000,0.001,50,0.04238754325259515,0.5157894736842106,0.07833733013589128
2000,0.1,16,0.0748663101604278,0.8842105263157894,0.13804437140509448
2000,0.01,16,0.1471861471861472,0.7157894736842105,0.24416517055655299
2000,0.001,16,0.03026227303295225,0.47368421052631576,0.056890012642225034
2000,0.1,32,0.1614457831325301,0.7052631578947368,0.26274509803921564
2000,0.01,32,0.13555992141453832,0.7263157894736842,0.228476821192053
2000,0.001,32,0.09077809798270893,0.6631578947368421,0.15969581749049427
2000,0.1,50,0.08728448275862069,0.8526315789473684,0.15835777126099707
2000,0.01,50,0.1263537906137184,0.7368421052631579,0.21571648690292755
2000,0.001,50,0.08641975308641975,0.6631578947368421,0.1529126213592233
5000,0.1,16,0.1670886075949367,0.6947368421052632,0.2693877551020408
5000,0.01,16,0.06910569105691057,0.8947368421052632,0.12830188679245283
5000,0.001,16,0.09845288326300984,0.7368421052631579,0.17369727047146402
5000,0.1,32,0.06386066763425254,0.9263157894736842,0.11948404616429055
5000,0.01,32,0.12547528517110265,0.6947368421052632,0.21256038647342995
5000,0.001,32,0.09983633387888707,0.6421052631578947,0.1728045325779037
5000,0.1,50,0.4864864864864865,0.37894736842105264,0.42603550295857995
5000,0.01,50,0.14435146443514643,0.7263157894736842,0.2408376963350785
5000,0.001,50,0.09090909090909091,0.7263157894736842,0.16159250585480095
10000,0.1,16,0.1972318339100346,0.6,0.296875
10000,0.01,16,0.048086866597724924,0.9789473684210527,0.0916707737801873
10000,0.001,16,0.1364562118126273,0.7052631578947368,0.22866894197952217
10000,0.1,32,0.14344262295081966,0.7368421052631579,0.24013722126929674
10000,0.01,32,0.08762322015334063,0.8421052631578947,0.15873015873015872
10000,0.001,32,0.12159709618874773,0.7052631578947368,0.20743034055727555
10000,0.1,50,0.47126436781609193,0.43157894736842106,0.4505494505494505
10000,0.01,50,0.05227272727272727,0.968421052631579,0.09919137466307276
10000,0.001,50,0.1128747795414462,0.6736842105263158,0.1933534743202417


1000,0.1,16,0.3087248322147651,0.4842105263157895,0.3770491803278689
1000,0.01,16,0.11441307578008915,0.8105263157894737,0.20052083333333334
1000,0.001,16,0.03211169284467714,0.968421052631579,0.062162162162162166
1000,0.1,32,0.05874222529371113,0.8947368421052632,0.11024643320363166
1000,0.01,32,0.10675381263616558,0.5157894736842106,0.1768953068592058
1000,0.001,32,0.04935459377372817,0.6842105263157895,0.09206798866855523
1000,0.1,50,0.23394495412844038,0.5368421052631579,0.32587859424920124
1000,0.01,50,0.10927152317880795,0.6947368421052632,0.1888412017167382
1000,0.001,50,0.047867711053089644,0.5789473684210527,0.08842443729903537
2000,0.1,16,0.09879839786381843,0.7789473684210526,0.17535545023696683
2000,0.01,16,0.10725075528700906,0.7473684210526316,0.18758256274768823
2000,0.001,16,0.07876230661040788,0.5894736842105263,0.13895781637717125
2000,0.1,32,0.4065934065934066,0.3894736842105263,0.39784946236559143
2000,0.01,32,0.09366391184573003,0.7157894736842105,0.1656516443361754
2000,0.001,32,0.05841325196163906,0.7052631578947368,0.10789049919484703
2000,0.1,50,0.3237410071942446,0.47368421052631576,0.38461538461538464
2000,0.01,50,0.1596244131455399,0.7157894736842105,0.2610364683301344
2000,0.001,50,0.05443548387096774,0.5684210526315789,0.09935602575896964
5000,0.1,16,0.18461538461538463,0.631578947368421,0.2857142857142857
5000,0.01,16,0.1348314606741573,0.7578947368421053,0.2289348171701113
5000,0.001,16,0.07922077922077922,0.6421052631578947,0.14104046242774565
5000,0.1,32,0.10632183908045977,0.7789473684210526,0.1871049304677623
5000,0.01,32,0.15869565217391304,0.7684210526315789,0.26306306306306304
5000,0.001,32,0.09949409780775717,0.6210526315789474,0.17151162790697674
5000,0.1,50,0.0620384047267356,0.8842105263157894,0.11594202898550726
5000,0.01,50,0.14688128772635814,0.7684210526315789,0.2466216216216216
5000,0.001,50,0.09567901234567901,0.6526315789473685,0.16689098250336473
10000,0.1,16,0.1111111111111111,0.7894736842105263,0.1948051948051948
10000,0.01,16,0.1775,0.7473684210526316,0.28686868686868683
10000,0.001,16,0.1396761133603239,0.7263157894736842,0.23429541595925296
10000,0.1,32,0.13655462184873948,0.6842105263157895,0.2276707530647986
10000,0.01,32,0.1731266149870801,0.7052631578947368,0.27800829875518673
10000,0.001,32,0.13108614232209737,0.7368421052631579,0.22257551669316372
10000,0.1,50,0.15550239234449761,0.6842105263157895,0.253411306042885
10000,0.01,50,0.7727272727272727,0.17894736842105263,0.2905982905982906
10000,0.001,50,0.11352253756260434,0.7157894736842105,0.19596541786743515
